country,description,price,province,title,variety,winery
Czech Republic,"Smoke and struck-flint notes add a dark tone to this savory, herb-inflected white wine. The palate is round and rich, and finishes with a reverberating hint of salt and bitter lemon rind.",25.0,Moravia,Vino z Czech 2011 Welschriesling (Moravia),Welschriesling,Vino z Czech
Czech Republic,"The Cabernet Moravia grape is a cross between Cabernet Franc and Zweigelt. Here, it incorporates all of Cab Franc's leafy herbaceousness and Zweigelt's tart, cranberry flavors in a refreshing wine. It's delicate in concentration, but easy drinking, with lots of green, grassy notes on the finish.",18.0,Moravia,Vino z Czech NV Cabernet Moravia (Moravia),Cabernet Moravia,Vino z Czech
Slovenia,"Earthy with hints of roasted nuts and dried herb, this is a uniquely savory Sauvignon that would pair well with herb-accented fowl and fish. The palate is round and rich, but balanced with brisk lime acidity and a characteristic grassiness on the finish.",20.0,Slovenia,Ciringa 2011 Fosilni Breg Sauvignon Blanc (Slovenia),Sauvignon Blanc,Ciringa
Croatia,"Salt air, lemon pith and lemon blossom lead in this 100% Malvasia Istriana. A wave of citrus and pronounced juicy grapefruit flavors refreshes the midpalate. The finish is zesty and lively.",20.0,Istria,Coronica 2012 Malvasia (Istria),Malvasia,Coronica
Croatia,"This garnet-colored wine conveys aromas of cranberry, black cherry and bramble. Flavors of dark cherry, cranberry and black plum have a strong acidic backbone and a long finish.",27.0,Peljesac,Miloš 2009 Plavac Mali (Peljesac),Plavac Mali,Miloš
Serbia,"This white wine from Serbia has aromas of caramelized pineapple and elderflower. It is lively and energetic, with flavors of Japanese apple and ripe pineapple.",26.0,Pocerina,Milijan Jelić 2011 Morava (Pocerina),Morava,Milijan Jelić
Slovenia,"This Slovenian Chardonnay has aromas of orange, vanilla, toasted almonds and citrus blossom. The mouth delivers flavors of honeydew melon, pear and apple before a crisp acidic finish.",7.0,Primorska,Avia 2014 Hand Harvested Estate Bottled Chardonnay (Primorska),Chardonnay,Avia
Czech Republic,"Aromas of caramel, toffee and lemon zest set the scene for flavors of peach and white pears with a touch of toffee. It is round in the mouth with a nice balance of fruit and caramel flavors on the finish.",15.0,Moravia,Vino z Czech 2013 Michlovský Sauvignon Blanc (Moravia),Sauvignon Blanc,Vino z Czech
Bulgaria,"This pale-pink rosé is comprised of 70% Pinot Noir and 30% Syrah. It has aromas of lemon zest, pink grapefruit and strawberry. Red grapefruit along with strawberries and cream mark the palate. The finish is full and fruity.",9.0,Thracian Valley,Vini 2016 Veni Vidi Vici Rosé (Thracian Valley),Rosé,Vini
Slovenia,"This amber colored, orange-style wine has aromas of canned peaches and apricots on the nose, while fresh stone fruits seem to dominate the full bodied palate. The finish is creamy and lingers on.",35.0,Vipavska Dolina,Batič 2009 Angel Grande Cuvée Rezerva White (Vipavska Dolina),White Blend,Batič
Slovenia,"This wine is garnet in color, with aromas of cherry, vanilla, red plum and cassis. Flavors of tart cherry, red raspberry and blackberry drive the palate and lead to a lingering finish.",35.0,Vipavska Dolina,Batič 2010 Cabernet Franc (Vipavska Dolina),Cabernet Franc,Batič
Czech Republic,"This red blend has a nose of fresh cherry, red plum and clove. In the mouth, it offers a combination of fruit and spice flavors featuring anise, black plum, Chinese five spice, and black cherry. There is a burst of still-youthful acidity on the finish, but this should be drunk within the next year or two.",45.0,Moravia,Stapleton & Springer 2007 Roucí Red (Moravia),Red Blend,Stapleton & Springer
Bulgaria,"Dark garnet to the eye, this wine has aromas of black cherry, black raspberry, coffee and freshly ground black pepper. Flavors of height-of-summer cherry, raspberry and baking spice persist on the palate through a finish that is awash in silky tannins.",11.0,Thracian Valley,Bulgariana 2012 Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Bulgariana
Bulgaria,"A clean nose of lemon curd sets the scene for flavors of kumquat, green apple, ripe mango and lemon zest. Medium bodied on the palate, this wine offers a bright, crisp finish.",14.0,Danube River Plains,Chateau Burgozone 2014 Chardonnay (Danube River Plains),Chardonnay,Chateau Burgozone
Bulgaria,"Aromas of lemon-lime, jasmine and honeysuckle prepare the palate for crisp, clean flavors of lemon zest and lemon curd.",22.0,Thracian Valley,Minkov Brothers 2011 Le Photographe Rheinriesling Riesling (Thracian Valley),Riesling,Minkov Brothers
Bulgaria,"This ruby-colored wine offers aromas of black cherry and notes of green pepper and summer farmstand. It has flavors of black cherry, cherry cola and cassis, with soft tannins and a bright burst of acidity in the finish.",22.0,Thracian Valley,Minkov Brothers 2014 Le Photographe Cabernet Franc (Thracian Valley),Cabernet Franc,Minkov Brothers
Croatia,"Waxy and floral on the nose with hints of zesty orange peel, this dry, full bodied white is richly concentrated with tangerine, lime and fresh apple flavors. It's bold at 13.6% abv, but maintains a crisp, citrus pith astringency and orange blossom elegance to the finish.",24.0,Korčula,Korta Katarina 2008 Posip (Korčula),Posip,Korta Katarina
Bulgaria,"Grassy with green leaf and fresh-cut herb notes, this dry, easy-drinking wine boasts lively lime-juice acidity and pleasant apple flavor. Slightly dusty notes of dried herb and reed distract on the finish.",9.0,Black Sea Coastal,Targovishte 2011 Premium Quality Dry Sauvignon Blanc (Black Sea Coastal),Sauvignon Blanc,Targovishte
Croatia,"The lavors of candied red cherry and flower are pleasant, but dusty herb notes distract on the nose and palate. It's a big wine at 13.9% abv, but zesty acidity keeps it relatively balanced.",21.0,Peljesac,Korta Katarina 2010 Plavac Mali and Zinfandel Rosé (Peljesac),Rosé,Korta Katarina
Bulgaria,"Nicely concentrated with a core of ripe red fruit and menthol, this is a fresh, forward Cab that's a bargain at $8. Bright and clean from start to finish, the finish lingers on smooth, velvety tannins and a fresh, herbaceous mint note.",8.0,Thracian Valley,Vini 2009 Veni Vidi Vici Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Vini
Bulgaria,"A bouquet of jasmine, honeysuckle and green apple entice you in to sip of this refined Traminer. There are balanced flavors of ginger, passion fruit and apricot and a clean, acidic finish.",10.0,Thracian Valley,Domaine Boyar 2015 Traminer (Thracian Valley),Traminer,Domaine Boyar
Bulgaria,"Comprised of 60% Merlot, 30% Cabernet Sauvignon, 5% Rubin, and 5% Mavrud, it offers aromas of blackberry, cherry vanilla and cinnamon. In the mouth are generous flavors of black cherry, black plum and tart cranberry. Saddle leather and tobacco leaf linger in the persistent finish.",14.0,Thracian Valley,Bulgariana 2008 Imperial Red (Thracian Valley),Red Blend,Bulgariana
Slovenia,"Vanilla and cookie crumb notes add a sweet, toasty flair to the sour cherry flavor on this bright, nervy red. The palate is tart, tangy and refreshingly tasty, with soft, chalky tannins that linger on the finish.",20.0,Kras,Štoka 2009 Izbrani Teran (Kras),Teran,Štoka
Croatia,"Fermented with indigenous yeast and then aged in French oak, this has rose and raspberry perfumes, with deep black-plum and berry flavors. Striking acidity and bold, angular tannins soften on the palate, revealing a smooth, luscious finish.",19.0,Croatia,Bibich 2009 G6 Grenache (Croatia),Grenache,Bibich
Bulgaria,"Straw colored in the glass with aromas of green apple, citrus blossom and freshly cut grass, this Bulgarian Sauvignon Blanc has flavors of lemon curd, guava and pineapple. It is medium bodied in the midpalate and has a crisp, clean finish.",11.0,Thracian Valley,K Cellars 2015 Sauvignon Blanc (Thracian Valley),Sauvignon Blanc,K Cellars
Bulgaria,"Ripe red-cherry and sweet pastry notes are fragrant on this bright, easy-drinking Pinot Noir. On the finish, hints of smoke and ash add savory tones that would be pleasant alongside duck- or pork-based dishes.",9.0,Thracian Valley,Vini 2011 Veni Vidi Vici Pinot Noir (Thracian Valley),Pinot Noir,Vini
Croatia,"This garnet-colored wine conveys aromas of cranberry, black cherry and bramble. Flavors of dark cherry, cranberry and black plum have a strong acidic backbone and a long finish.",27.0,Peljesac,Miloš 2009 Plavac Mali (Peljesac),Plavac Mali,Miloš
